year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,7,0
1973,7,0
1974,14,0
1975,21,0
1976,37,0
1977,35,0
1978,80,0
1979,57,0
1980,69,0
1981,50,0
1982,57,0
1983,61,0
1984,48,0
1985,48,0
1986,54,0
1987,66,0
1988,48,0
1989,60,0
1990,75,0
1991,62,0
1992,82,0
1993,102,0
1994,94,0
1995,72,0
1996,59,0
1997,45,0
1998,39,0
1999,34,0
2000,22,0
2001,21,0
2002,17,0
2003,12,0
2004,8,0
2005,15,0
2006,9,0
2007,13,0
2008,13,0
2009,6,0
2010,0,0
2011,7,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,5,0
2017,0,0
2018,0,0
2019,0,0
